UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole,Re2,Re1,Un2,Un1,Ap2,Ap3,Ap1,An3,Ev2,Ev1,P1s0,P1s1,P1s2,P1s3
10202.0,10277036.0,non-gamified,Grupo Team 11,Apprentice,NA,39.0,55.0,3.0,17.0,1.0,4.0,6.0,15.0,5.0,0.0,1.0,1.0,1.0,1.0
10203.0,9921470.0,non-gamified,Grupo Team 3,Apprentice,NA,30.0,31.0,6.0,12.0,0.0,4.0,6.0,NA,4.0,12.0,0.0,0.0,0.0,0.0
10204.0,10310471.0,ont-gamified,Grupo Hermes,Master,Yee Achiever,39.0,60.0,6.0,17.0,1.0,8.0,6.0,13.0,10.0,12.0,NA,NA,NA,NA
10206.0,10310721.0,ont-gamified,Grupo Hera,Master,Yee Achiever,40.0,60.0,3.0,12.0,1.0,8.0,6.0,16.0,10.0,12.0,1.0,2.0,2.0,3.0
10208.0,10276932.0,non-gamified,Grupo Team 7,Apprentice,NA,31.0,60.0,6.0,11.0,0.0,4.0,6.0,16.0,0.0,8.0,NA,NA,NA,NA
10209.0,10262669.0,ont-gamified,Grupo Artemis,Apprentice,Yee Achiever,40.0,60.0,3.0,18.0,0.0,4.0,6.0,16.0,0.0,12.0,0.0,0.0,0.0,0.0
10210.0,10277015.0,non-gamified,Grupo Team 9,Apprentice,NA,39.0,48.0,0.0,11.0,0.0,4.0,3.0,15.0,10.0,12.0,1.0,1.0,1.0,1.0
10212.0,9065750.0,non-gamified,Grupo Team 4,Master,NA,32.0,56.0,3.0,18.0,1.0,8.0,6.0,16.0,10.0,12.0,NA,NA,NA,NA
10213.0,10277040.0,ont-gamified,Grupo Morfeu,Master,Yee Socializer,15.0,48.0,6.0,17.0,1.0,8.0,6.0,16.0,4.0,12.0,NA,NA,NA,NA
10214.0,10277022.0,non-gamified,Grupo Team 5,Master,NA,40.0,48.0,3.0,12.0,1.0,8.0,6.0,16.0,10.0,12.0,NA,NA,NA,NA
10215.0,9285227.0,ont-gamified,Grupo Zeus,Master,Yee Socializer,39.0,60.0,3.0,12.0,1.0,4.0,6.0,16.0,4.0,12.0,1.0,2.0,2.0,3.0
10216.0,10276720.0,non-gamified,Grupo Team 15,Master,NA,40.0,56.0,3.0,17.0,1.0,4.0,6.0,16.0,0.0,12.0,NA,NA,NA,NA
10217.0,9805341.0,non-gamified,Grupo Team 13,Master,NA,16.0,60.0,3.0,12.0,1.0,8.0,6.0,16.0,0.0,12.0,1.0,2.0,3.0,3.0
10218.0,9842913.0,ont-gamified,Grupo Ares,Master,Yee Achiever,40.0,57.0,0.0,17.0,1.0,4.0,6.0,16.0,5.0,12.0,1.0,2.0,3.0,4.0
10219.0,10276831.0,non-gamified,Grupo Team 12,Master,NA,40.0,60.0,3.0,6.0,1.0,4.0,6.0,16.0,10.0,12.0,0.0,0.0,0.0,0.0
10220.0,9760151.0,non-gamified,Grupo Team 2,Apprentice,NA,39.0,58.0,3.0,17.0,0.0,4.0,6.0,16.0,5.0,12.0,0.0,0.0,0.0,0.0
10221.0,9082496.0,ont-gamified,Grupo Hermes,Apprentice,Yee Achiever,39.0,54.0,2.0,12.0,0.0,3.0,2.0,14.0,10.0,8.0,NA,NA,NA,NA
10222.0,9436110.0,non-gamified,Grupo Team 16,Master,NA,24.0,48.0,6.0,17.0,0.0,3.0,6.0,16.0,4.0,12.0,NA,NA,NA,NA
10223.0,9795185.0,ont-gamified,Grupo Cronus,Master,Yee Achiever,39.0,48.0,6.0,17.0,1.0,4.0,6.0,15.0,0.0,12.0,NA,NA,NA,NA
10224.0,9368772.0,non-gamified,Grupo Team 10,Apprentice,NA,22.0,48.0,3.0,12.0,0.0,0.0,3.0,16.0,0.0,8.0,1.0,2.0,2.0,3.0
10226.0,10310342.0,non-gamified,Grupo Team 8,Master,NA,22.0,59.0,5.0,17.0,1.0,8.0,6.0,16.0,5.0,12.0,1.0,1.0,2.0,2.0
