UserID,NroUSP,Type,Group,CLRole,PlayerRole,Re2,Re1,Un2,Un1,Ap2,Ap3,Ap1,An3,Ev2,Ev1,P1s0,P1s1,P1s2,P1s3
10204.0,10310471.0,ont-gamified,Grupo Hermes,Master,Yee Achiever,4914.0,5040.0,5040.0,4760.0,5040.0,5040.0,5040.0,4095.0,5040.0,5040.0,NA,NA,NA,NA
10206.0,10310721.0,ont-gamified,Grupo Hera,Master,Yee Achiever,5040.0,5040.0,2520.0,3360.0,5040.0,5040.0,5040.0,5040.0,5040.0,5040.0,5040.0,5040.0,3360.0,3780.0
10208.0,10276932.0,non-gamified,Grupo Team 7,Apprentice,NA,3906.0,5040.0,5040.0,3080.0,0.0,2520.0,5040.0,5040.0,0.0,3360.0,NA,NA,NA,NA
10209.0,10262669.0,ont-gamified,Grupo Artemis,Apprentice,Yee Achiever,5040.0,5040.0,2520.0,5040.0,0.0,2520.0,5040.0,5040.0,0.0,5040.0,0.0,0.0,0.0,0.0
10210.0,10277015.0,non-gamified,Grupo Team 9,Apprentice,NA,4914.0,4032.0,0.0,3080.0,0.0,2520.0,2520.0,4725.0,5040.0,5040.0,5040.0,2520.0,1680.0,1260.0
10212.0,9065750.0,non-gamified,Grupo Team 4,Master,NA,4032.0,4704.0,2520.0,5040.0,5040.0,5040.0,5040.0,5040.0,5040.0,5040.0,NA,NA,NA,NA
10213.0,10277040.0,ont-gamified,Grupo Morfeu,Master,Yee Socializer,1890.0,4032.0,5040.0,4760.0,5040.0,5040.0,5040.0,5040.0,2016.0,5040.0,NA,NA,NA,NA
10214.0,10277022.0,non-gamified,Grupo Team 5,Master,NA,5040.0,4032.0,2520.0,3360.0,5040.0,5040.0,5040.0,5040.0,5040.0,5040.0,NA,NA,NA,NA
10215.0,9285227.0,ont-gamified,Grupo Zeus,Master,Yee Socializer,4914.0,5040.0,2520.0,3360.0,5040.0,2520.0,5040.0,5040.0,2016.0,5040.0,5040.0,5040.0,3360.0,3780.0
10216.0,10276720.0,non-gamified,Grupo Team 15,Master,NA,5040.0,4704.0,2520.0,4760.0,5040.0,2520.0,5040.0,5040.0,0.0,5040.0,NA,NA,NA,NA
10217.0,9805341.0,non-gamified,Grupo Team 13,Master,NA,2016.0,5040.0,2520.0,3360.0,5040.0,5040.0,5040.0,5040.0,0.0,5040.0,5040.0,5040.0,5040.0,3780.0
10218.0,9842913.0,ont-gamified,Grupo Ares,Master,Yee Achiever,5040.0,4788.0,0.0,4760.0,5040.0,2520.0,5040.0,5040.0,2520.0,5040.0,5040.0,5040.0,5040.0,5040.0
10219.0,10276831.0,non-gamified,Grupo Team 12,Master,NA,5040.0,5040.0,2520.0,1680.0,5040.0,2520.0,5040.0,5040.0,5040.0,5040.0,0.0,0.0,0.0,0.0
10220.0,9760151.0,non-gamified,Grupo Team 2,Apprentice,NA,4914.0,4872.0,2520.0,4760.0,0.0,2520.0,5040.0,5040.0,2520.0,5040.0,0.0,0.0,0.0,0.0
10221.0,9082496.0,ont-gamified,Grupo Hermes,Apprentice,Yee Achiever,4914.0,4536.0,1680.0,3360.0,0.0,1890.0,1680.0,4410.0,5040.0,3360.0,NA,NA,NA,NA
10222.0,9436110.0,non-gamified,Grupo Team 16,Master,NA,3024.0,4032.0,5040.0,4760.0,0.0,1890.0,5040.0,5040.0,2016.0,5040.0,NA,NA,NA,NA
10223.0,9795185.0,ont-gamified,Grupo Cronus,Master,Yee Achiever,4914.0,4032.0,5040.0,4760.0,5040.0,2520.0,5040.0,4725.0,0.0,5040.0,NA,NA,NA,NA
10224.0,9368772.0,non-gamified,Grupo Team 10,Apprentice,NA,2772.0,4032.0,2520.0,3360.0,0.0,0.0,2520.0,5040.0,0.0,3360.0,5040.0,5040.0,3360.0,3780.0
10226.0,10310342.0,non-gamified,Grupo Team 8,Master,NA,2772.0,4956.0,4200.0,4760.0,5040.0,5040.0,5040.0,5040.0,2520.0,5040.0,5040.0,2520.0,3360.0,2520.0
10227.0,9274382.0,non-gamified,Grupo Team 4,Apprentice,NA,3906.0,924.0,2520.0,3360.0,5040.0,1890.0,5040.0,4410.0,2520.0,1260.0,5040.0,2520.0,1680.0,1260.0
10230.0,10351992.0,non-gamified,Grupo Team 14,Master,NA,1638.0,4788.0,5040.0,4480.0,0.0,5040.0,5040.0,5040.0,5040.0,3360.0,NA,NA,NA,NA
10231.0,10276911.0,ont-gamified,Grupo Caronte,Apprentice,Yee Achiever,5040.0,4872.0,5040.0,3360.0,5040.0,0.0,5040.0,5040.0,0.0,5040.0,NA,NA,NA,NA
10232.0,10276974.0,ont-gamified,Grupo Artemis,Master,Yee Achiever,3024.0,5040.0,2520.0,4760.0,5040.0,5040.0,5040.0,2205.0,5040.0,5040.0,NA,NA,NA,NA
10233.0,9805320.0,non-gamified,Grupo Team 16,Apprentice,NA,3906.0,5040.0,2520.0,3360.0,0.0,0.0,5040.0,5040.0,2520.0,5040.0,NA,NA,NA,NA
10234.0,10310676.0,non-gamified,Grupo Team 7,Master,NA,4914.0,3024.0,5040.0,4760.0,5040.0,2520.0,5040.0,5040.0,5040.0,3360.0,NA,NA,NA,NA
10237.0,10377688.0,non-gamified,Grupo Team 11,Master,NA,4914.0,5040.0,2520.0,5040.0,5040.0,5040.0,5040.0,NA,2520.0,5040.0,5040.0,5040.0,3360.0,3780.0
10238.0,10276953.0,non-gamified,Grupo Team 13,Apprentice,NA,4914.0,4956.0,3360.0,4760.0,5040.0,2520.0,5040.0,5040.0,2016.0,5040.0,NA,NA,NA,NA
10240.0,10276654.0,ont-gamified,Grupo Hera,Apprentice,Yee Achiever,4032.0,0.0,0.0,1680.0,0.0,5040.0,0.0,5040.0,0.0,0.0,NA,NA,NA,NA
