UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole,ReA,UnC,ApB1,ApB2,AnC1,AnC2,EvB,PCs0,PCs1,PCs2,PCs3,PDs0,PDs1,PDs2,PDs3,PEs0,PEs1,PEs2,PEs3
10219.0,10276831.0,ont-gamified,Grupo Razorg,Apprentice,Yee Achiever,65520.0,30240.0,65520.0,65520.0,43680.0,43680.0,65520.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10220.0,9760151.0,non-gamified,Grupo Team 4,Apprentice,NA,54600.0,65520.0,65520.0,65520.0,65520.0,43680.0,47320.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10221.0,9082496.0,non-gamified,Grupo Team 3,Apprentice,NA,63700.0,15120.0,0.0,0.0,21840.0,21840.0,47320.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10224.0,9368772.0,non-gamified,Grupo Team 9,Apprentice,NA,30030.0,65520.0,65520.0,65520.0,18200.0,40040.0,65520.0,65520.0,65520.0,65520.0,65520.0,NA,NA,NA,NA,NA,NA,NA,NA
10226.0,10310342.0,ont-gamified,Grupo Yeka,Apprentice,Yee Socializer,54600.0,0.0,65520.0,65520.0,65520.0,43680.0,65520.0,NA,NA,NA,NA,65520.0,32760.0,21840.0,16380.0,NA,NA,NA,NA
10227.0,9274382.0,non-gamified,Grupo Team 2,Apprentice,NA,43680.0,47880.0,65520.0,28080.0,43680.0,65520.0,47320.0,65520.0,32760.0,21840.0,16380.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA
10228.0,10310492.0,ont-gamified,Grupo Losvakai,Apprentice,Yee Achiever,63700.0,65520.0,65520.0,65520.0,21840.0,0.0,47320.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10230.0,10351992.0,ont-gamified,Grupo Koil,Apprentice,Yee Achiever,65520.0,65520.0,65520.0,65520.0,40040.0,65520.0,65520.0,65520.0,65520.0,65520.0,49140.0,65520.0,32760.0,21840.0,32760.0,0.0,0.0,0.0,0.0
10231.0,10276911.0,non-gamified,Grupo Team 4,Master,NA,54600.0,65520.0,65520.0,65520.0,65520.0,65520.0,65520.0,65520.0,32760.0,21840.0,16380.0,65520.0,32760.0,21840.0,32760.0,65520.0,32760.0,21840.0,16380.0
10232.0,10276974.0,non-gamified,Grupo Team 3,Apprentice,NA,65520.0,65520.0,65520.0,28080.0,65520.0,18200.0,32760.0,65520.0,32760.0,21840.0,16380.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA
10237.0,10377688.0,ont-gamified,Grupo Ellaru,Apprentice,Yee Socializer,54600.0,65520.0,65520.0,65520.0,65520.0,65520.0,65520.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10238.0,10276953.0,ont-gamified,Grupo Belos,Apprentice,Yee Socializer,53690.0,65520.0,65520.0,28080.0,43680.0,65520.0,29120.0,NA,NA,NA,NA,0.0,0.0,0.0,0.0,NA,NA,NA,NA
10240.0,10276654.0,non-gamified,Grupo Team 8,Apprentice,NA,65520.0,65520.0,65520.0,28080.0,43680.0,18200.0,65520.0,65520.0,65520.0,43680.0,49140.0,65520.0,65520.0,65520.0,65520.0,65520.0,32760.0,43680.0,32760.0
