UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole,Re1,Un3,Ap2a,Ap2b,An3a,An3b,Ev2,P2s0,P2s1,P2s2,P2s3,P3s0,P3s1,P3s2,P3s3
10214.0,10277022.0,ont-gamified,Grupo Koil,Apprentice,Yee Achiever,49.0,40.0,1.0,6.0,12.0,6.0,36.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10215.0,9285227.0,non-gamified,Grupo Team 7,Apprentice,NA,50.0,29.0,1.0,0.0,8.0,6.0,16.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0
10217.0,9805341.0,ont-gamified,Grupo Belos,Master,Yee Socializer,65.0,40.0,1.0,14.0,16.0,12.0,36.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
10218.0,9842913.0,non-gamified,Grupo Team 10,Apprentice,NA,63.0,30.0,1.0,0.0,16.0,6.0,27.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,4.0
10219.0,10276831.0,ont-gamified,Grupo Razorg,Apprentice,Yee Achiever,52.0,18.0,1.0,6.0,4.0,5.0,26.0,NA,NA,NA,NA,0.0,0.0,0.0,0.0
10220.0,9760151.0,non-gamified,Grupo Team 4,Apprentice,NA,76.0,10.0,1.0,0.0,8.0,0.0,27.0,NA,NA,NA,NA,NA,NA,NA,NA
10221.0,9082496.0,non-gamified,Grupo Team 3,Apprentice,NA,37.0,18.0,1.0,0.0,0.0,0.0,25.0,NA,NA,NA,NA,NA,NA,NA,NA
10224.0,9368772.0,non-gamified,Grupo Team 9,Apprentice,NA,75.0,40.0,1.0,6.0,12.0,5.0,7.0,1.0,2.0,2.0,3.0,NA,NA,NA,NA
10226.0,10310342.0,ont-gamified,Grupo Yeka,Apprentice,Yee Socializer,76.0,17.0,1.0,0.0,8.0,12.0,15.0,NA,NA,NA,NA,NA,NA,NA,NA
10227.0,9274382.0,non-gamified,Grupo Team 2,Apprentice,NA,49.0,18.0,0.0,6.0,11.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
10228.0,10310492.0,ont-gamified,Grupo Losvakai,Apprentice,Yee Achiever,61.0,29.0,0.0,14.0,4.0,6.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
10230.0,10351992.0,ont-gamified,Grupo Koil,Apprentice,Yee Achiever,51.0,40.0,1.0,6.0,12.0,5.0,36.0,NA,NA,NA,NA,NA,NA,NA,NA
10231.0,10276911.0,non-gamified,Grupo Team 4,Master,NA,52.0,40.0,1.0,14.0,12.0,12.0,36.0,1.0,2.0,3.0,4.0,1.0,1.0,2.0,2.0
10232.0,10276974.0,non-gamified,Grupo Team 3,Apprentice,NA,38.0,0.0,1.0,6.0,8.0,4.0,16.0,NA,NA,NA,NA,NA,NA,NA,NA
10237.0,10377688.0,ont-gamified,Grupo Ellaru,Apprentice,Yee Socializer,64.0,10.0,1.0,14.0,16.0,6.0,36.0,NA,NA,NA,NA,NA,NA,NA,NA
10238.0,10276953.0,ont-gamified,Grupo Belos,Apprentice,Yee Socializer,63.0,19.0,0.0,14.0,11.0,5.0,6.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA
10240.0,10276654.0,non-gamified,Grupo Team 8,Apprentice,NA,38.0,40.0,1.0,0.0,4.0,0.0,26.0,1.0,1.0,2.0,2.0,NA,NA,NA,NA
