NroUSP,UserID,Type,CLGroup,CLRole,PlayerRole,Re2,Re1,Un2,Un1,Ap2,Ap3,Ap1,An3,Ev2,Ev1
10276932,10208,non-gamified,Grupo Team 7,Apprentice,NA,31,60,6,11,0,4,6,16,0,8
10276949,10176,ont-gamified,Grupo Cronus,Apprentice,Yee Achiever,40,60,3,12,0,8,6,14,4,8
10276953,10238,non-gamified,Grupo Team 13,Apprentice,NA,39,59,4,17,1,4,6,16,4,12
10276960,10185,non-gamified,Grupo Team 12,Apprentice,NA,12,46,4,17,1,3,6,7,10,12
10276974,10232,ont-gamified,Grupo Artemis,Master,Yee Achiever,24,60,3,17,1,8,6,7,10,12
10276981,10191,non-gamified,Grupo  Team 6,Master,NA,32,60,6,17,1,4,6,16,10,12
10276995,10188,non-gamified,Grupo Team 3,Master,NA,32,60,6,12,1,8,6,16,10,12
10277015,10210,non-gamified,Grupo Team 9,Apprentice,NA,39,48,0,11,0,4,3,15,10,12
10277022,10214,non-gamified,Grupo Team 5,Master,NA,40,48,3,12,1,8,6,16,10,12
10277036,10202,non-gamified,Grupo Team 11,Apprentice,NA,39,55,3,17,1,4,6,15,5,0
10277040,10213,ont-gamified,Grupo Morfeu,Master,Yee Socializer,15,48,6,17,1,8,6,16,4,12
10310342,10226,non-gamified,Grupo Team 8,Master,NA,22,59,5,17,1,8,6,16,5,12
10310471,10204,ont-gamified,Grupo Hermes,Master,Yee Achiever,39,60,6,17,1,8,6,13,10,12
10310551,10186,ont-gamified,Grupo Ares,Apprentice,Yee Achiever,40,58,2,17,0,8,6,16,0,12
10310655,10196,ont-gamified,Grupo Hefesto,Apprentice,Yee Achiever,31,47,3,11,0,4,6,16,5,8
10310676,10234,non-gamified,Grupo Team 7,Master,NA,39,36,6,17,1,4,6,16,10,8
10310700,10175,ont-gamified,Grupo Hélio,Master,Yee Socializer,39,60,3,17,1,8,6,16,10,12
10310721,10206,ont-gamified,Grupo Hera,Master,Yee Achiever,40,60,3,12,1,8,6,16,10,12
10310759,10179,non-gamified,Grupo Team 9,Master,NA,40,60,3,17,1,8,6,16,0,12
10310888,10198,ont-gamified,Grupo Apolo,Apprentice,Yee Socializer,21,56,3,11,0,3,6,6,5,8
10351971,10195,ont-gamified,Grupo Urano,Apprentice,Yee Achiever,39,60,3,17,1,4,6,7,4,12
10351992,10230,non-gamified,Grupo Team 14,Master,NA,13,57,6,16,0,8,6,16,10,8
10352030,10183,ont-gamified,Grupo Hélio,Apprentice,Yee Socializer,31,59,3,18,1,3,2,15,4,0
10377538,10169,ont-gamified,Grupo Hefesto,Master,Yee Achiever,40,60,0,17,1,4,6,8,10,12
10377688,10237,non-gamified,Grupo Team 11,Master,NA,39,60,3,18,1,8,6,NA,5,12
