UserID,NroUSP,startP1,corrP1,exatP1,startP2,corrP2,exatP2,startP3,corrP3,exatP3,startP4,corrP4,exatP4,startPA,corrPA,exatPA,startPB,corrPB,exatPB,startPC,corrPC,exatPC,startPD,corrPD,exatPD,startPE,corrPE,exatPE,startPF,corrPF,exatPF,startPG,corrPG,exatPG,startPH,corrPH,exatPH,P1s0,P1s1,P1s2,P1s3,P2s0,P2s1,P2s2,P2s3,P3s0,P3s1,P3s2,P3s3,P4s0,P4s1,P4s2,P4s3,PAs0,PAs1,PAs2,PAs3,PBs0,PBs1,PBs2,PBs3,PCs0,PCs1,PCs2,PCs3,PDs0,PDs1,PDs2,PDs3,PEs0,PEs1,PEs2,PEs3,PFs0,PFs1,PFs2,PFs3,PGs0,PGs1,PGs2,PGs3,PHs0,PHs1,PHs2,PHs3
10192.0,10276682.0,1490751847.0,10.0,2235.0,1491525030.0,10.0,1268.0,1492456908.0,0.0,8.0,0.0,0.0,0.0,1493072087.0,10.0,2465.0,1493074970.0,10.0,780.0,1495660639.0,10.0,690.0,0.0,0.0,0.0,0.0,0.0,0.0,1499187742.0,10.0,7302.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,1.0,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA
10216.0,10276720.0,0.0,0.0,0.0,1492532596.0,10.0,181.0,1492532874.0,10.0,454.0,0.0,0.0,0.0,1492533456.0,10.0,222.0,1492533713.0,10.0,445.0,1494866836.0,10.0,309.0,1494896970.0,10.0,371.0,1495126789.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,NA,NA,NA,NA,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10199.0,10276737.0,0.0,0.0,0.0,1491494022.0,10.0,303.0,1492457134.0,10.0,12373.0,0.0,0.0,0.0,1492708689.0,10.0,783.0,1492710173.0,10.0,691.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1499386320.0,10.0,440.0,0.0,0.0,0.0,1499477704.0,10.0,1330.0,NA,NA,NA,NA,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,NA,NA,NA,NA,1.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,2.0,3.0,4.0,NA,NA,NA,NA,1.0,1.0,2.0,2.0
10193.0,10276762.0,1490915569.0,10.0,668.0,1491407909.0,10.0,720.0,1491678056.0,10.0,602.0,0.0,0.0,0.0,1492479717.0,10.0,340.0,1492617180.0,0.0,202.0,1494723576.0,10.0,680.0,1494724729.0,10.0,767.0,1494725881.0,0.0,2901.0,1499397098.0,10.0,1182.0,1499404115.0,10.0,4282.0,1499392111.0,0.0,10110.0,1.0,2.0,3.0,4.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,NA,NA,NA,NA,1.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
10219.0,10276831.0,1490912558.0,0.0,495.0,0.0,0.0,0.0,1492460913.0,0.0,1865.0,1495644508.0,0.0,1964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1499182995.0,10.0,1049.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,2.0,2.0,3.0,NA,NA,NA,NA,NA,NA,NA,NA
10174.0,10276852.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1494938049.0,10.0,2309.0,1495472651.0,10.0,358.0,1495506702.0,10.0,11266.0,1498600534.0,10.0,17513.0,1499439477.0,0.0,1358.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA
10181.0,10276866.0,0.0,0.0,0.0,1491480410.0,10.0,220.0,1491850793.0,10.0,487.0,0.0,0.0,0.0,1492475458.0,0.0,3112.0,1492619186.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1494890834.0,0.0,1873.0,1499453118.0,10.0,526.0,1499459504.0,10.0,4172.0,1499479403.0,10.0,683.0,NA,NA,NA,NA,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0
10190.0,10276907.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1492714734.0,10.0,798.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1499373305.0,10.0,1454.0,1499475384.0,0.0,5676.0,1499483387.0,10.0,431.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,1.0,2.0,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0
10231.0,10276911.0,0.0,0.0,0.0,1491497112.0,10.0,295.0,1491659803.0,10.0,969.0,0.0,0.0,0.0,1492782133.0,10.0,342.0,1492782532.0,10.0,1980.0,1494499987.0,10.0,1062.0,1494521523.0,10.0,1576.0,1494540254.0,10.0,8087.0,1497579276.0,10.0,3e3,1497627488.0,10.0,5638.0,1497635431.0,0.0,29022.0,NA,NA,NA,NA,1.0,2.0,3.0,4.0,1.0,1.0,2.0,2.0,NA,NA,NA,NA,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
10201.0,10276928.0,1490751803.0,10.0,592.0,1491521351.0,10.0,1769.0,1491870766.0,10.0,4369.0,0.0,0.0,0.0,1492445713.0,10.0,1095.0,1492446217.0,10.0,2478.0,1494520579.0,10.0,476.0,1494861244.0,10.0,1476.0,1494861290.0,0.0,2093.0,1499266696.0,10.0,2117.0,1499271074.0,10.0,3182.0,1499362793.0,0.0,5374.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,NA,NA,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
