UserID,Un1,Un2,Ap1,Ap2,Ap3,An3,Ev1,Ev2,P1s2,ReB,UnB,ApB,ApC,AnC,EvA,PAs3,pre.PersonScores,pos.PersonScores,pre.theta,pos.theta,pre.sd.error,pos.sd.error,gain.theta
10186,17,2,6,0,8,16,12,0,NA,40,4,12,8,14,6,NA,61,84,-0.45253802777453217,0.32193299089730243,0.1596025921009684,0.3867195201676478,0.7744710186718347
10187,17,3,6,1,4,7,12,0,3,31,4,11,4,14,6,4,53,74,-0.6414526075507796,-0.10514336759998462,0.12245486206706292,0.10967970695454778,0.5363092399507949
10188,12,6,6,1,8,16,12,10,3,40,4,12,8,14,6,4,74,88,0.014109640411841127,0.8438634273964107,0.26632693699586374,0.7271902638436472,0.8297537869845696
10189,17,3,6,1,8,15,12,10,1,40,0,12,8,13,6,3,73,82,-0.05329178942311223,-0.006903765019299179,0.24865968479075543,0.14714114044978321,0.04638802440381305
10190,12,3,6,1,8,5,0,5,NA,40,0,12,8,14,6,2,40,82,-0.7746793215380208,-0.006903765019299179,0.1124935527782411,0.14714114044978321,0.7677755565187216
10191,17,6,6,1,4,16,12,10,NA,40,4,12,8,14,6,NA,72,84,0.026651936150440377,0.32193299089730243,0.2760295244152377,0.3867195201676478,0.29528105474686206
10192,17,3,6,0,3,15,8,0,2,40,4,12,4,14,6,1,54,81,-0.62721464293160345,-0.024906729087553585,0.12468544695535766,0.13800291189359895,0.6023079138440499
10193,17,6,6,1,4,16,12,0,3,40,0,12,8,13,6,4,65,83,-0.39345888820289887,0.015832242197546746,0.1702066171427071,0.15982273388990445,0.4092911304004456
10195,17,3,6,1,4,7,12,4,NA,40,4,11,4,6,6,1,54,72,-0.5996426983693411,-0.12260729611169403,0.13009086392058322,0.10645556858800952,0.4770354022576471
10196,11,3,6,0,4,16,8,5,2,40,4,12,8,14,6,1,55,85,-0.6122049770064935,0.10412344068659898,0.12719624806269716,0.21608089861726654,0.7163284176930924
10197,17,0,6,0,8,16,12,5,NA,40,4,12,4,14,6,1,64,81,-0.3647049403602623,-0.024906729087553585,0.17789753232437136,0.13800291189359895,0.3397982112727087
10198,11,3,6,0,3,6,8,5,1,40,3,12,4,14,6,1,43,80,-0.7604868347207215,-0.040053411870092676,0.11212265694653586,0.13103066464871024,0.7204334228506288
10199,12,3,2,1,8,16,12,5,NA,40,4,12,8,13,2,2,59,81,-0.5022270515730969,-0.024906729087553585,0.14937582276789188,0.13800291189359895,0.4773203224855433
10200,18,3,6,0,4,15,12,10,1,32,4,12,8,14,6,1,69,77,-0.25603637251385114,-0.07614559630543917,0.19951915534349313,0.1173889276448867,0.17989077620841198
10201,12,3,6,0,8,16,12,10,3,40,3,12,4,14,6,1,70,80,-0.21366974385527818,-0.040053411870092676,0.20927788278735407,0.13103066464871024,0.1736163319851855
10202,17,3,6,1,4,15,0,5,1,40,4,8,4,13,6,NA,52,75,-0.6550279220713972,-0.07403019424024597,0.12048557685322894,0.1191656461860346,0.5809977278311512
10203,12,6,6,0,4,NA,12,4,NA,23,0,10,3,0,2,2,44,40,-0.49908109228951897,-0.6351043075165933,0.16444011552016605,0.21085428581236956,-0.13602321522707433
10204,17,6,6,1,8,13,12,10,NA,40,4,12,4,13,6,1,73,80,0.10735244369397628,-0.040053411870092676,0.3007069185738062,0.13103066464871024,-0.14740585556406896
10206,12,3,6,1,8,16,12,10,2,40,4,8,3,14,6,4,70,79,-0.21366974385527818,-0.053303581571849314,0.20927788278735407,0.12551805026364907,0.16036616228342887
10208,11,6,6,0,4,16,8,0,NA,40,4,12,4,14,6,1,51,81,-0.6446260723182551,-0.024906729087553585,0.12254649791366418,0.13800291189359895,0.6197193432307015
10209,18,3,6,0,4,16,12,0,NA,40,4,12,8,14,6,NA,59,84,-0.5022270515730969,0.32193299089730243,0.14937582276789188,0.3867195201676478,0.8241600424703993
10210,11,0,3,0,4,15,12,10,1,32,4,9,4,13,6,NA,56,68,-0.596303042778415,-0.1380640689035786,0.13000621321459283,0.10518994516022054,0.45823897387483636
10212,18,3,6,1,8,16,12,10,NA,24,4,12,4,14,6,NA,74,64,0.20032080375736946,-0.17127129134119506,0.3334008709330924,0.10330845680190166,-0.3715920950985645
10213,17,6,6,1,8,16,12,4,NA,40,4,12,8,14,6,2,70,86,-0.10793281060260057,0.23442630461112018,0.23914605620199517,0.30006854206992284,0.34235911521372075
10214,12,3,6,1,8,16,12,10,NA,40,4,8,8,14,6,2,68,82,-0.21231381584144904,-0.006903765019299179,0.21266147766282673,0.14714114044978321,0.20541005082214986
10215,12,3,6,1,4,16,12,4,2,40,4,12,8,13,6,1,60,84,-0.5211336154898631,0.04779627327755167,0.14452486804460188,0.17929853754864078,0.5689298887674148
10216,17,3,6,1,4,16,12,0,NA,40,4,12,8,14,6,4,59,88,-0.5022270515730969,0.8438634273964107,0.14937582276789188,0.7271902638436472,1.3460904789695076
10217,12,3,6,1,8,16,12,0,3,40,4,12,8,14,6,2,61,86,-0.49883661764542864,0.23442630461112018,0.1489975002065412,0.30006854206992284,0.7332629222565488
10218,17,0,6,1,4,16,12,5,3,32,4,9,8,14,6,3,64,76,-0.4223272682358731,-0.0863352277145575,0.16437385417611453,0.11434452327698418,0.3359920405213156
10219,6,3,6,1,4,16,12,10,NA,40,4,12,3,14,6,NA,58,79,-0.524585847121639,-0.021132082670086746,0.1447961702106853,0.14171362770640747,0.5034537644515523
10220,17,3,6,0,4,16,12,5,NA,40,0,12,8,14,6,NA,63,80,-0.39588495477080377,-0.0021126518816323293,0.17133057778511013,0.15202478975178413,0.3937723028891714
10221,12,2,2,0,3,14,8,10,NA,32,0,7,3,14,6,NA,51,62,-0.6446260723182551,-0.18832928032316767,0.12254649791366418,0.10351158737520003,0.45629679199508744
10222,17,6,6,0,3,16,12,4,NA,23,4,12,4,14,6,NA,64,63,-0.3647049403602623,-0.17972768512604592,0.17789753232437136,0.10332023172995522,0.18497725523421638
10223,17,6,6,1,4,15,12,0,NA,40,4,12,8,13,6,NA,61,83,-0.45253802777453217,0.13351248471791122,0.1596025921009684,0.24491182336831724,0.5860505124924433
10224,12,3,3,0,0,16,8,0,2,22,4,12,8,13,6,3,44,68,-0.7495189843208939,-0.1557731921173857,0.11234149582386609,0.1030796865693798,0.5937457922035082
10226,17,5,6,1,8,16,12,5,2,40,4,12,8,14,6,NA,72,84,-0.11327556901679406,0.32193299089730243,0.233544419501825,0.3867195201676478,0.43520855991409646
10227,12,3,6,1,3,14,3,5,1,32,4,12,8,14,0,NA,48,70,-0.704496242386267,-0.12118556843123568,0.11488678883486451,0.10747317612972261,0.5833106739550313
10230,16,6,6,0,8,16,8,10,NA,32,3,11,4,14,6,NA,70,70,-0.10793281060260057,-0.12118556843123568,0.23914605620199517,0.10747317612972261,-0.013252757828635109
10231,12,6,6,1,0,16,12,0,NA,40,4,12,4,14,6,4,53,84,-0.615485792940405,0.04779627327755167,0.1272746165651465,0.17929853754864078,0.6632820662179566
10232,17,3,6,1,8,7,12,10,NA,40,4,12,0,14,6,2,64,78,-0.3647049403602623,-0.0652157206504884,0.17789753232437136,0.12105633137556769,0.2994892197097739
10233,12,3,6,0,0,16,12,5,NA,40,4,11,3,14,6,NA,54,78,-0.5996426983693411,-0.03692104398921816,0.13009086392058322,0.13399100416818868,0.562721654380123
10234,17,6,6,1,4,16,8,10,NA,40,4,12,4,6,2,NA,68,68,-0.21231381584144904,-0.1380640689035786,0.21266147766282673,0.10518994516022054,0.07424974693787043
10237,18,3,6,1,8,NA,12,5,2,40,4,11,8,6,6,NA,55,75,-0.17989042703362912,-0.07403019424024597,0.22180991438836814,0.1191656461860346,0.10586023279338315
10238,17,4,6,1,4,16,12,4,NA,40,3,12,4,13,6,NA,64,78,-0.3647049403602623,-0.03692104398921816,0.17789753232437136,0.13399100416818868,0.32778389637104416
10240,6,0,0,0,8,16,0,0,NA,40,0,11,8,14,6,1,30,80,-0.8947498215395795,-0.040053411870092676,0.12155364280037043,0.13103066464871024,0.8546964096694868
