UserID,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132
10129,1.0,7.0,7.0,4.0,2.0,4.0,2.0,4.0,2.0,5.0,1.0,1.0,5.0,7.0,5.0,5.0,4.0,7.0,4.0,2.0,3.0,1.0,1.0,1.0
10130,4.0,3.0,6.0,5.0,4.0,5.0,2.0,5.0,5.0,6.0,2.0,4.0,1.0,4.0,4.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0
10131,4.0,5.0,6.0,7.0,4.0,7.0,1.0,2.0,5.0,6.0,6.0,7.0,3.0,1.0,7.0,2.0,7.0,2.0,7.0,1.0,7.0,7.0,1.0,7.0
10132,1.0,7.0,7.0,6.0,4.0,4.0,3.0,4.0,1.0,6.0,3.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,7.0,7.0,1.0,1.0,2.0,1.0
10133,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
10134,2.0,6.0,4.0,4.0,3.0,3.0,4.0,6.0,2.0,4.0,2.0,2.0,4.0,3.0,5.0,3.0,5.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0
10135,5.0,4.0,5.0,7.0,7.0,1.0,5.0,6.0,5.0,7.0,5.0,5.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,2.0,5.0,5.0,6.0,2.0
10136,1.0,7.0,3.0,1.0,1.0,6.0,6.0,7.0,1.0,4.0,4.0,1.0,5.0,1.0,5.0,3.0,7.0,7.0,4.0,6.0,1.0,1.0,1.0,1.0
10137,5.0,1.0,5.0,4.0,5.0,1.0,1.0,1.0,5.0,5.0,7.0,6.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,6.0,5.0,4.0,6.0
10138,3.0,4.0,7.0,7.0,4.0,6.0,1.0,3.0,6.0,7.0,3.0,6.0,1.0,4.0,5.0,4.0,4.0,2.0,4.0,2.0,5.0,4.0,3.0,4.0
10139,1.0,4.0,5.0,7.0,7.0,4.0,5.0,1.0,6.0,5.0,7.0,3.0,4.0,4.0,7.0,3.0,1.0,1.0,1.0,1.0,5.0,3.0,4.0,4.0
10140,1.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,5.0,6.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,2.0,1.0,2.0
10141,2.0,4.0,5.0,4.0,4.0,6.0,3.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,3.0,4.0,1.0,5.0,3.0,5.0,5.0,5.0,4.0
10142,4.0,6.0,4.0,7.0,1.0,3.0,3.0,4.0,6.0,4.0,7.0,4.0,2.0,1.0,4.0,4.0,4.0,1.0,5.0,2.0,4.0,4.0,1.0,6.0
10143,4.0,4.0,6.0,6.0,5.0,3.0,2.0,2.0,4.0,5.0,3.0,4.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,5.0,4.0,4.0,4.0
10145,1.0,7.0,7.0,4.0,1.0,4.0,1.0,4.0,4.0,7.0,4.0,4.0,1.0,4.0,7.0,4.0,4.0,4.0,4.0,7.0,3.0,2.0,1.0,4.0
10146,5.0,3.0,6.0,6.0,6.0,3.0,2.0,2.0,5.0,6.0,7.0,5.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0
10148,4.0,3.0,6.0,4.0,4.0,1.0,1.0,1.0,4.0,6.0,2.0,4.0,2.0,2.0,4.0,5.0,3.0,5.0,4.0,1.0,6.0,5.0,2.0,3.0
10149,4.0,3.0,7.0,1.0,1.0,7.0,5.0,7.0,1.0,7.0,1.0,1.0,1.0,7.0,6.0,7.0,6.0,5.0,7.0,7.0,7.0,1.0,1.0,1.0
10152,7.0,3.0,7.0,6.0,7.0,4.0,7.0,1.0,7.0,5.0,4.0,7.0,5.0,3.0,2.0,2.0,2.0,2.0,7.0,2.0,7.0,7.0,7.0,7.0
10153,5.0,4.0,5.0,5.0,7.0,3.0,2.0,2.0,5.0,4.0,4.0,5.0,5.0,2.0,6.0,2.0,5.0,2.0,4.0,4.0,3.0,6.0,5.0,4.0
10154,3.0,6.0,5.0,4.0,2.0,6.0,3.0,5.0,4.0,4.0,2.0,2.0,5.0,2.0,6.0,6.0,6.0,3.0,4.0,7.0,1.0,1.0,2.0,2.0
10158,7.0,3.0,7.0,7.0,4.0,4.0,1.0,1.0,6.0,2.0,7.0,7.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,6.0,7.0,4.0,6.0
