UserID,NroUSP,Type,Group,CLRole,PlayerRole,Re2,Un2,Ap3,Ap1,An3a,An3b,Ev2,P4s0,P4s1,P4s2,P4s3
10215.0,9285227.0,ont-gamified,Vikings,Master,Social Achiever,29.0,28.0,22.0,10.0,7.0,0.0,8.0,NA,NA,NA,NA
10216.0,10276720.0,ont-gamified,Silly Knights,Master,Social Achiever,29.0,28.0,10.0,22.0,7.0,7.0,0.0,NA,NA,NA,NA
10217.0,9805341.0,w/o-gamified,Grupo9,Apprentice,NA,29.0,26.0,0.0,22.0,14.0,0.0,18.0,NA,NA,NA,NA
10218.0,9842913.0,w/o-gamified,Grupo10,Apprentice,NA,29.0,13.0,22.0,22.0,0.0,0.0,8.0,NA,NA,NA,NA
10219.0,10276831.0,w/o-gamified,Grupo3,Master,NA,21.0,27.0,10.0,22.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
10220.0,9760151.0,w/o-gamified,Grupo3,Apprentice,NA,29.0,13.0,0.0,22.0,0.0,0.0,8.0,NA,NA,NA,NA
10221.0,9082496.0,ont-gamified,Warriors,Apprentice,Social Achiever,22.0,13.0,0.0,0.0,0.0,0.0,8.0,NA,NA,NA,NA
10223.0,9795185.0,ont-gamified,Slayers,Master,Social Achiever,29.0,14.0,0.0,22.0,14.0,14.0,0.0,NA,NA,NA,NA
10226.0,10310342.0,w/o-gamified,Grupo4,Apprentice,NA,29.0,12.0,10.0,0.0,6.0,0.0,9.0,NA,NA,NA,NA
10227.0,9274382.0,w/o-gamified,Grupo5,Master,NA,38.0,14.0,11.0,22.0,6.0,14.0,0.0,NA,NA,NA,NA
10228.0,10310492.0,ont-gamified,Resistance,Apprentice,Social Achiever,29.0,0.0,0.0,0.0,0.0,0.0,8.0,NA,NA,NA,NA
10230.0,10351992.0,ont-gamified,Resistance,Master,Social Achiever,29.0,24.0,22.0,22.0,12.0,0.0,8.0,NA,NA,NA,NA
10231.0,10276911.0,w/o-gamified,Grupo9,Master,NA,29.0,42.0,0.0,22.0,14.0,14.0,8.0,NA,NA,NA,NA
10232.0,10276974.0,w/o-gamified,Grupo7,Apprentice,NA,29.0,27.0,22.0,22.0,0.0,6.0,7.0,NA,NA,NA,NA
10237.0,10377688.0,ont-gamified,Outlaws,Apprentice,Social Achiever,29.0,27.0,0.0,22.0,14.0,0.0,0.0,NA,NA,NA,NA
10238.0,10276953.0,w/o-gamified,Grupo2,Master,NA,56.0,11.0,22.0,0.0,14.0,0.0,8.0,NA,NA,NA,NA
10240.0,10276654.0,w/o-gamified,Grupo5,Apprentice,NA,29.0,27.0,0.0,22.0,0.0,6.0,0.0,NA,NA,NA,NA
